lat,lng
40.1074003,-75.113206
40.183013,-75.535937
40.2349983,-75.2166077
40.04571,-75.298728
40.1148759,-75.3403903
40.0802937,-75.3060477
40.0794421,-75.3068746
40.2641787,-75.656005
40.1142023,-75.3268041
40.0117673,-75.2946732
40.2905586,-75.2851444
40.1466487,-75.2192771
40.1355778,-75.2738513
40.4024419,-75.4994835
40.1653934,-75.2829046
40.1489915,-75.260516
40.4014255,-75.4939718
40.3881677,-75.5059427
40.1498641,-75.3646526
40.161709,-75.1959681
40.2552707,-75.3407218
40.3256048,-75.3249254
40.148858,-75.2328423
40.155827,-75.3652085
40.1290496,-75.3288609
40.1098472,-75.3937796
40.2763043,-75.5650236
40.3055837,-75.4903214
40.2919414,-75.5420241
40.2431339,-75.6464342
40.0249667,-75.2829046
40.1330371,-75.4084631
40.1497607,-75.4785811
40.2469315,-75.6439204
40.0134468,-75.2361093
40.079443,-75.331833
40.1074003,-75.113206
40.1313819,-75.3547959
40.1527341,-75.2264827
40.2566279,-75.2612699
40.1564481,-75.1220797
40.1211757,-75.1333613
40.1236821,-75.3254952
40.2414952,-75.2837862
40.344816,-75.3623206
40.0823492,-75.1613157
40.1848404,-75.1205124
40.129538,-75.3246363
40.1198332,-75.1253492
40.2290075,-75.3878525
40.0850736,-75.3886248
40.0931406,-75.3677644
40.0279994,-75.3122906
40.1086301,-75.1231264
40.2212266,-75.2887369
40.2394356,-75.2362381
40.1330371,-75.4084631
40.204159,-75.1723943
40.4339309,-75.4680749
40.297967,-75.2960191
40.0836572,-75.1647407
40.1847975,-75.286879
40.1545535,-75.2215651
40.1793752,-75.2362381
40.1793752,-75.2362381
40.092353,-75.138325
40.092353,-75.138325
40.1255016,-75.3217964
40.3490683,-75.4818301
40.1899626,-75.5355215
40.2864378,-75.2637619
40.1335334,-75.0564601
40.1195768,-75.0622361
40.0879229,-75.2832089
40.1823738,-75.104913
40.1258785,-75.0861109
40.1723141,-75.4927278
40.1033767,-75.4124499
40.1156859,-75.3329667
40.1385244,-75.5032506
40.243582,-75.281722
40.0360186,-75.2877431
40.1764038,-75.2250294
40.1517793,-75.0415703
40.1801046,-75.3625298
40.1910464,-75.4662767
40.1198332,-75.1253492
40.2515986,-75.2922951
40.1784422,-75.1285061
40.072731,-75.1559688
40.2212266,-75.2887369
40.1210265,-75.3581642
40.2682855,-75.6248005
40.119449,-75.1926774
40.1463007,-75.0600812
